Timestamp,Amplitude
20241206_144542,807
111332,736
111335,737
111329,807
111332,736
111335,737
111329,807
111332,736
111335,737
0,741
1,733
2,737
4,742
5,811
6,816
8,5
10,804
13,859
15,781
18,733
20,734
23,746
25,833
28,875
30,961
32,943
35,770
37,734
40,738
43,741
46,843
48,897
51,961
53,937
56,760
58,736
61,735
63,747
66,851
68,899
71,973
73,919
76,4
78,734
81,734
83,752
87,844
89,885
92,968
94,916
97,739
99,732
102,738
104,807
107,859
110,754
113,821
115,737
118,738
121,737
124,747
126,861
130,954
133,960
136,795
138,738
141,735
144,750
147,767
149,864
152,920
155,832
158,737
160,731
163,737
166,858
168,924
172,955
175,863
178,4
180,734
183,740
186,855
188,916
191,963
194,904
197,733
199,730
202,741
205,841
208,899
210,959
214,5
217,736
219,733
222,745
225,826
228,886
230,958
233,930
236,749
239,735
241,735
244,813
247,759
250,894
252,906
256,748
259,736
262,734
264,752
267,869
270,952
272,955
275,800
278,736
281,737
283,745
286,846
289,931
292,948
294,847
297,732
301,737
304,742
306,852
309,907
312,957
315,5
317,740
320,733
323,742
325,851
328,911
331,964
334,911
336,736
339,731
343,739
346,838
348,895
351,734
354,760
357,733
359,734
362,737
365,816
367,873
370,961
373,932
376,739
378,731
381,741
385,814
388,856
390,956
393,951
396,768
399,737
401,736
404,753
407,865
410,959
412,957
415,783
418,5
420,732
423,744
427,848
430,931
432,962
435,853
438,734
441,734
443,742
446,848
449,905
451,723
454,745
457,734
460,733
462,742
465,846
468,903
472,967
474,892
477,733
480,730
483,742
485,836
488,736
491,883
494,840
496,736
499,728
502,733
505,827
507,878
510,952
514,908
516,736
519,735
522,735
525,817
527,879
530,962
533,947
536,754
538,731
541,741
544,808
547,868
549,965
552,960
556,5
558,735
561,735
564,746
567,854
569,936
572,955
575,804
578,737
580,730
583,737
586,853
589,756
591,860
594,799
598,735
600,736
603,743
606,854
609,905
611,963
614,888
617,732
620,731
622,743
625,748
628,831
631,942
633,884
636,742
640,736
643,737
645,827
648,888
651,967
654,912
656,733
659,734
662,739
664,835
667,897
670,963
673,940
675,753
678,734
681,736
685,811
687,870
690,961
693,5
695,737
698,735
701,735
704,745
706,858
709,955
712,957
715,776
717,733
720,734
723,748
727,757
729,868
732,936
735,847
738,738
740,733
743,739
746,863
749,926
751,968
754,884
757,731
759,735
762,739
765,840
769,896
771,962
774,906
777,739
780,730
782,737
785,840
788,898
791,963
793,4
796,736
799,734
801,735
804,830
807,888
811,968
813,943
816,742
819,741
822,741
824,809
827,865
830,5
832,787
835,737
838,735
841,736
843,754
846,855
849,942
852,952
855,788
858,734
861,732
863,744
866,852
869,928
872,965
874,869
877,733
880,735
883,745
885,861
888,917
891,959
894,897
897,5
900,732
903,735
905,845
908,901
911,958
914,906
916,737
919,734
922,739
925,828
927,885
930,4
933,766
935,739
939,735
942,737
945,823
947,882
950,966
953,949
956,762
958,733
961,736
964,758
967,731
969,860
972,877
975,737
977,734
980,736
984,741
987,854
989,943
992,957
995,791
998,733
1000,737
1003,740
1006,865
1009,968
1012,961
1015,760
1018,733
1021,738
1025,840
1028,911
1031,959
1034,4
1037,737
1040,734
1043,748
1046,856
1049,955
1052,956
1055,767
1058,734
1061,742
1064,822
1068,743
1071,905
1074,867
1077,734
1080,735
1083,743
1086,869
1089,958
1092,950
1095,783
1098,735
1101,738
1104,799
1107,864
1111,966
1114,906
1117,737
1120,737
1123,741
1126,874
1129,946
1132,954
1135,785
1138,739
1141,739
1144,810
1147,890
1150,966
1154,932
1157,739
1160,734
1163,741
1166,864
1169,940
1172,733
1175,731
1178,736
1181,735
1184,758
1186,882
1189,958
1192,927
1196,739
1199,731
1202,743
1205,779
1208,866
1211,958
1214,865
1217,734
1220,737
1223,749
1226,866
1229,964
1232,956
1235,745
1239,5
1242,736
1245,840
1248,915
1251,961
1254,885
1257,736
1260,731
1263,745
1266,866
1269,960
1272,741
1275,736
1278,732
1282,739
1285,834
1288,904
1291,960
1294,900
1297,735
1300,731
1303,748
1306,867
1309,804
1312,861
1315,739
1318,731
1321,741
1325,823
1328,895
1331,966
1334,896
1337,732
1340,4
1343,748
1346,866
1349,957
1352,954
1355,794
1358,737
1360,741
1363,817
1367,888
1370,963
1373,926
1376,5
1379,734
1382,744
1385,857
1388,930
1391,964
1394,856
1397,733
1400,736
1403,756
1406,873
1410,796
1413,836
1416,737
1419,733
1422,741
1425,847
1428,916
1431,956
1434,869
1437,733
1440,739
1443,5
1446,791
1449,915
1453,925
1456,742
