Timestamp,Amplitude
20241206_144713,690
90647,686
90644,690
90647,686
90644,690
90647,686
0,681
1,690
3,690
4,691
5,694
7,693
9,690
11,685
14,695
16,677
19,683
21,683
24,684
26,691
29,684
31,687
34,684
36,683
39,689
41,693
44,688
47,688
49,691
52,686
54,680
57,678
59,691
62,693
64,684
67,677
69,694
72,683
74,680
77,691
79,683
82,684
84,686
88,691
90,693
93,692
95,685
98,679
100,684
103,685
105,682
108,686
111,677
114,684
116,688
119,673
122,685
125,687
128,691
131,687
134,688
137,675
139,681
142,691
145,685
148,678
150,682
153,685
156,681
159,684
161,685
164,682
167,680
169,686
173,690
176,683
179,683
181,681
184,695
187,681
189,690
192,691
195,685
198,677
200,690
203,693
206,691
209,690
211,677
215,673
218,689
221,690
223,685
226,677
229,682
231,690
234,675
237,689
240,683
242,686
245,682
248,688
251,690
253,687
257,676
260,684
263,687
265,681
268,682
271,688
273,685
276,682
279,688
282,684
284,684
287,679
290,691
293,685
295,684
299,708
302,683
305,682
307,685
310,682
313,681
316,679
318,681
321,688
324,696
327,686
329,677
332,681
335,687
337,692
340,674
344,673
347,685
349,689
352,697
355,677
358,688
360,682
363,680
366,689
369,692
371,688
374,680
377,682
380,689
382,686
386,680
389,686
392,682
394,673
397,687
400,686
402,697
405,685
408,676
411,680
413,687
416,687
419,686
422,683
424,687
428,680
431,693
434,687
436,696
439,666
442,685
444,696
447,680
450,683
453,677
455,694
458,690
461,675
464,688
466,696
470,687
473,694
476,680
478,686
481,682
484,683
487,685
489,679
492,688
495,688
497,682
500,667
503,684
506,689
508,680
512,680
515,678
518,690
520,690
523,687
526,682
529,683
531,678
534,683
537,687
539,694
542,685
545,672
548,688
550,678
553,675
557,678
560,678
562,689
565,699
568,679
571,686
573,686
576,689
579,693
581,679
584,680
587,688
590,677
592,685
595,679
599,690
601,687
604,684
607,694
610,692
612,686
615,682
618,684
621,683
623,682
626,685
629,682
632,688
634,682
637,691
641,683
644,683
646,684
649,681
652,691
655,687
657,688
660,680
663,687
665,683
668,694
671,675
674,680
676,690
679,696
683,667
686,686
688,684
691,685
694,694
697,684
699,671
702,692
705,689
708,682
710,694
713,681
716,696
719,695
721,678
724,680
728,686
730,689
733,693
736,696
739,685
741,686
744,696
747,684
750,684
752,688
755,685
758,683
761,689
763,681
766,688
770,685
773,691
775,690
778,693
781,678
784,694
786,685
789,677
792,678
794,672
797,678
800,692
803,692
805,695
808,684
812,687
815,686
817,689
820,680
823,691
826,687
828,687
831,691
834,685
837,688
839,682
842,687
845,680
847,689
850,684
854,687
857,683
859,684
862,679
865,683
868,688
870,682
873,687
876,680
879,685
881,680
884,682
887,691
889,677
892,678
896,691
899,684
901,686
904,675
907,694
909,695
912,681
915,700
918,686
920,686
923,677
926,675
929,685
931,686
934,689
937,684
941,686
943,685
946,683
949,685
952,689
954,685
957,683
960,681
963,674
965,683
968,689
971,682
973,688
976,684
979,676
983,681
985,689
988,697
991,690
994,683
996,689
999,681
1002,686
1005,687
1008,686
1011,684
1014,673
1017,683
1020,699
1024,694
1027,681
1030,684
1033,701
1036,681
1039,689
1042,680
1045,677
1048,685
1051,689
1054,681
1057,682
1060,686
1063,672
1067,687
1070,679
1073,689
1076,688
1079,687
1082,682
1085,684
1088,697
1091,694
1094,682
1097,670
1099,684
1102,684
1105,682
1108,686
1112,683
1115,682
1118,693
1121,690
1124,685
1127,692
1130,675
1133,687
1136,680
1139,683
1142,702
1145,684
1148,688
1152,681
1155,688
1158,687
1161,685
1164,680
1167,688
1170,685
1173,689
1176,687
1179,687
1182,685
1185,681
1188,694
1191,686
1195,687
1198,683
1201,691
1204,690
1207,685
1210,670
1213,695
1216,691
1219,679
1222,690
1225,688
1228,680
1231,686
1234,683
1238,679
1241,690
1244,685
1247,693
1250,680
1253,679
1256,684
1259,685
1262,685
1265,688
1268,688
1271,681
1274,685
1277,669
1281,694
1284,681
1287,687
1290,687
1293,691
1296,686
1299,686
1302,688
1305,683
1308,688
1311,687
1314,680
1316,679
1319,692
1323,681
1326,676
1329,691
1332,678
1335,698
1338,685
1341,681
1344,683
1347,687
1350,694
1353,678
1356,687
1359,690
1362,687
1366,684
1369,678
1372,680
1375,681
1378,683
1381,681
1384,681
1387,684
1390,694
1393,685
1396,684
1399,681
1402,680
1405,686
1409,685
1412,684
1415,686
1418,680
1421,686
1424,683
1427,694
1430,678
1433,675
1436,678
1439,684
1442,686
1445,669
1448,671
1452,694
1455,695
1458,676
1461,684
1464,684
1467,691
1470,677
1473,689
1476,686
1479,690
1482,691
1485,690
1488,690
1490,688
1494,676
1497,683
1500,690
1503,686
1506,684
1509,683
1512,690
1515,687
1518,685
1521,690
1524,685
1527,687
1530,685
1533,689
1537,690
1540,684
1543,689
1546,689
1549,688
1552,687
1555,695
1558,680
1561,674
1564,692
1567,688
1570,691
1573,680
1576,686
1580,692
1583,694
1586,688
1589,682
1592,690
1595,688
1598,684
1601,691
1604,685
1607,686
1610,682
1613,683
1616,683
1619,687
1623,686
1626,684
1629,705
1632,691
1635,686
1638,681
1641,688
1644,688
1647,685
1650,685
1653,686
1656,687
1659,691
1662,683
1666,688
1669,684
1672,686
1675,706
1678,676
1681,688
1684,690
1687,672
1690,685
1692,681
1695,688
1698,683
1701,683
1704,686
1708,688
1711,702
1714,683
1717,690
1720,674
1723,685
1726,694
1729,684
1732,684
1735,690
1738,694
1741,687
1744,688
1747,686
1751,691
1754,683
1757,686
1760,681
1763,681
1766,686
1769,684
1772,688
1775,682
1778,682
1781,693
1784,687
1787,690
1790,693
1794,687
1797,677
1800,679
1803,706
1806,691
1809,674
1812,689
1815,698
1818,687
1821,683
1824,684
1827,687
1830,684
1833,691
1837,676
1840,684
1843,682
1846,682
1849,687
1852,689
1855,685
1858,687
1861,688
1864,681
1867,685
1870,681
1873,687
1876,679
1880,681
1882,695
1885,690
1888,686
1891,689
1894,682
1897,685
1900,690
1903,689
1906,685
1909,672
1912,697
1915,693
1918,685
1922,690
1925,683
1928,687
1931,684
1934,684
1937,687
1940,680
1943,685
1946,682
1949,690
1952,683
1955,684
1958,685
1961,673
1965,684
1968,683
1971,690
1974,685
1977,675
1980,682
1983,678
1986,680
1989,682
1992,689
1995,682
1998,687
2001,690
2004,689
2008,684
2011,691
2014,688
2017,675
2020,688
2023,693
2026,689
2029,684
2032,688
2035,689
2038,693
2041,687
2044,686
2048,688
2051,681
2054,687
2056,688
2059,684
2062,686
2065,676
2068,689
2071,689
2074,681
2077,686
2080,682
2083,684
2086,686
2089,683
2093,692
2096,686
2099,675
2102,682
2105,699
2108,690
2111,678
2114,690
2117,686
2120,696
2123,688
2126,680
2129,694
2132,684
2136,679
2139,685
2142,684
2145,684
2148,682
2151,690
2154,677
2157,678
2160,685
2163,692
2166,685
2169,687
2172,680
2176,687
2179,686
2182,684
2185,681
2188,685
2191,683
2194,686
2197,688
2200,682
2203,687
2206,683
2209,688
2212,683
2215,683
2219,689
2222,691
2225,678
2228,679
2230,680
2233,689
2236,672
2239,684
2242,694
2245,678
2248,679
2251,693
2254,683
2257,683
2260,685
2264,691
2267,686
2270,689
2273,683
2276,681
2279,686
2282,686
2285,686
2288,691
2291,693
2294,688
2297,684
2300,685
2304,692
2307,694
2310,678
2313,687
2316,686
2319,686
2322,674
2325,688
2328,685
2331,695
2334,695
2337,683
2340,673
2343,671
2347,686
2350,688
2353,672
2356,690
2359,679
2362,680
2365,683
2368,688
2371,687
2374,686
2377,671
2380,693
2383,684
2386,679
2390,690
2393,679
2396,680
2399,686
2402,679
2404,686
2407,684
2410,685
2413,684
2416,681
2419,686
2422,688
2425,686
2428,686
2432,687
2435,687
2438,686
2441,679
2444,677
2447,679
2450,692
2453,689
2456,686
2459,690
2462,683
2465,689
2468,688
2471,686
2475,687
2478,674
2481,686
2484,686
2487,683
2490,691
2493,684
2496,688
2499,685
2502,691
2505,691
2508,697
2511,686
2514,685
2518,671
2521,685
2524,688
2527,682
2530,688
2533,684
2536,685
2539,692
2542,682
2545,686
2548,690
2551,684
2554,684
2557,685
2561,687
