Timestamp,Amplitude
20241211_110138,860
108298,863
108300,866
108301,864
108302,860
108303,855
108304,843
108305,817
0,802
1,802
1,801
2,792
2,784
2,777
3,770
3,763
4,757
4,755
5,756
5,758
5,760
6,761
6,764
7,765
7,769
8,778
9,791
10,805
10,823
11,838
12,843
13,850
14,856
14,858
15,861
16,863
17,862
18,861
19,857
19,854
20,849
21,835
22,818
23,799
24,782
24,773
25,771
26,770
27,773
28,785
29,800
29,817
30,833
31,844
32,850
33,857
34,861
34,863
35,864
36,865
37,865
38,861
39,858
39,855
40,848
41,830
43,813
44,794
45,778
45,772
46,772
47,772
48,780
49,792
50,809
50,827
51,842
52,849
53,853
54,860
54,863
55,865
56,866
57,866
58,864
59,861
59,857
60,853
61,839
62,822
63,804
64,785
64,778
65,773
66,772
67,776
68,787
69,801
69,818
70,835
71,845
72,852
73,856
74,862
74,866
75,867
76,867
77,866
78,863
79,860
79,857
80,850
81,832
82,814
83,795
84,780
84,775
86,772
87,773
88,780
89,793
90,809
90,827
91,842
92,849
93,856
94,862
95,864
95,866
96,867
97,869
98,866
99,863
99,859
100,856
101,840
102,820
103,800
104,783
105,775
106,774
107,774
108,785
109,799
109,819
110,838
111,848
112,854
113,861
114,865
115,867
116,868
117,867
118,865
119,862
119,858
120,849
121,830
122,809
123,789
124,778
125,776
126,773
128,780
129,793
130,811
131,831
131,845
132,850
133,857
134,864
135,867
136,868
137,867
138,866
139,864
140,859
141,855
141,836
142,816
143,796
144,781
145,775
146,773
147,776
148,788
149,804
150,824
151,841
152,849
152,856
153,862
154,864
155,866
156,869
157,867
158,865
159,861
160,857
161,842
162,824
163,803
163,785
164,777
165,773
166,774
167,783
168,797
169,816
171,835
172,846
173,852
174,859
174,864
175,866
176,867
177,867
178,865
179,862
180,858
181,851
182,831
183,810
184,790
185,779
185,774
186,772
187,778
188,791
189,808
190,828
191,844
192,849
193,857
194,862
195,865
195,867
196,868
197,866
198,864
199,858
200,855
201,837
202,818
203,797
204,781
205,774
206,772
206,775
207,786
208,802
209,821
210,838
211,847
212,855
214,860
215,864
216,865
217,867
217,867
218,865
219,861
220,856
221,845
222,824
223,804
224,786
225,776
226,773
227,773
228,781
228,795
229,813
230,833
231,845
232,852
233,858
234,863
235,865
236,867
237,867
238,865
238,861
239,857
240,851
241,832
242,811
243,791
244,778
245,774
246,772
247,777
248,789
249,805
249,826
250,842
251,849
252,856
253,861
254,864
256,866
257,867
258,866
259,861
260,859
260,853
261,838
262,818
263,798
264,780
265,775
266,773
267,774
268,785
269,799
270,818
271,837
271,846
272,854
273,859
274,864
275,865
276,867
277,866
278,864
279,859
280,855
281,846
281,826
282,806
283,786
284,776
285,773
286,772
287,779
288,793
289,810
290,831
291,844
292,850
292,857
293,862
294,864
295,866
296,866
297,865
299,863
300,858
301,853
302,834
303,815
303,793
304,779
305,774
306,772
307,776
308,787
309,803
310,823
311,840
312,848
313,854
314,860
314,863
315,865
316,867
317,866
318,864
319,860
320,855
321,841
322,822
323,802
324,783
324,776
325,773
326,774
327,783
328,797
329,816
330,834
331,845
332,852
333,858
334,862
335,865
335,867
336,866
337,865
338,861
339,856
340,849
342,829
343,809
344,788
345,777
346,774
346,772
347,777
348,790
349,808
350,828
351,844
352,849
353,856
354,861
355,864
356,866
357,867
357,865
358,862
359,858
360,854
361,837
362,817
363,795
364,780
365,775
366,772
367,774
367,785
368,802
369,821
370,838
371,847
372,854
373,860
374,864
375,866
376,867
377,866
378,864
378,859
379,856
380,843
381,824
382,803
384,785
385,776
386,773
387,773
388,780
389,795
389,813
390,832
391,845
392,851
393,857
394,862
395,865
396,866
397,867
398,865
399,861
400,856
400,850
401,830
402,811
403,790
404,776
405,774
406,772
407,776
408,788
409,806
410,826
410,842
411,848
412,854
413,861
414,864
415,865
416,866
417,865
418,862
419,859
420,854
421,838
421,818
422,798
423,780
424,774
425,772
427,774
428,784
429,799
430,818
431,836
432,845
432,852
433,860
434,863
435,866
436,866
437,865
438,864
439,860
440,855
441,846
442,825
443,805
443,784
444,775
445,773
446,772
447,780
448,793
449,811
450,830
451,844
452,850
453,858
453,861
454,865
455,865
456,866
457,865
458,862
459,856
460,851
461,833
462,813
463,791
464,778
464,774
465,771
466,776
467,787
468,804
470,824
471,841
472,848
473,855
474,860
475,863
475,865
476,867
477,865
478,863
479,858
480,854
481,840
482,820
483,800
484,782
485,775
486,773
486,772
487,783
488,797
489,816
490,835
491,845
492,852
493,859
494,862
495,865
496,866
496,866
497,864
498,861
499,856
500,847
501,829
502,808
503,788
504,776
505,773
506,771
507,778
507,791
508,809
509,829
510,843
512,848
513,856
514,861
515,864
516,865
517,867
518,865
518,862
519,856
520,852
521,835
522,815
523,794
524,779
525,773
526,772
527,773
528,785
529,802
529,821
530,838
531,846
532,852
533,860
534,863
535,865
536,867
537,865
538,863
539,859
539,855
540,842
541,822
542,803
543,784
544,774
545,772
546,773
547,780
548,794
549,813
550,832
550,844
551,850
552,857
553,861
555,864
556,865
557,866
558,864
559,861
560,856
561,851
561,831
562,809
563,789
564,777
565,773
566,771
567,777
568,789
569,806
570,826
571,842
572,848
572,856
573,861
574,864
575,865
576,867
577,865
578,862
579,858
580,854
581,839
582,818
582,799
583,781
584,774
585,772
586,773
587,784
588,799
589,819
590,837
591,846
592,852
593,859
593,862
594,865
595,866
596,866
598,865
599,861
600,856
601,846
602,826
603,805
604,785
604,776
605,774
606,772
607,779
608,793
609,811
610,831
611,844
612,851
613,857
614,863
615,865
615,865
616,867
617,864
618,861
619,857
620,852
621,833
622,814
623,793
624,779
625,773
625,773
626,777
627,787
628,804
629,824
630,841
631,847
632,854
633,860
634,864
635,866
636,866
636,865
637,863
638,859
640,855
641,841
642,821
643,801
644,783
645,776
646,773
647,774
647,783
648,797
649,816
650,834
651,845
652,853
653,858
654,862
655,864
656,865
657,866
658,863
658,860
659,856
660,847
661,828
662,808
663,788
664,777
665,773
666,772
667,777
668,792
668,809
669,828
670,843
671,849
672,855
673,862
674,864
675,865
676,866
677,865
678,862
679,857
679,852
680,835
681,815
683,795
684,779
685,775
686,772
687,775
688,786
689,802
690,821
690,838
691,847
692,853
693,859
694,862
695,866
696,865
697,865
698,862
699,859
700,854
701,841
701,821
702,802
703,783
704,775
705,772
706,773
707,782
708,795
709,815
710,833
711,845
711,851
712,858
713,862
714,865
715,865
716,865
717,863
718,860
719,855
720,848
721,829
722,810
722,789
723,777
724,773
726,771
727,777
728,789
729,806
730,826
731,842
732,849
733,855
733,860
734,864
735,865
736,867
737,864
738,862
739,856
740,852
741,835
742,816
743,796
744,779
744,773
745,771
746,773
747,784
748,799
749,819
750,836
751,845
752,852
753,858
754,863
754,864
755,865
